,index,x_cord,y_cord,del_time
0,0,34,10,0.4611015319824219
1,1,24,11,0.4611015319824219
2,2,21,22,0.4611015319824219
3,3,46,27,0.4611015319824219
4,4,23,23,0.4611015319824219
5,5,21,25,0.4611015319824219
6,6,25,26,0.4611015319824219
7,7,31,42,0.4611015319824219
8,8,39,42,0.4611015319824219
9,9,36,43,0.4611015319824219
10,10,37,44,0.4611015319824219
11,11,36,43,0.4611015319824219
12,12,23,29,0.4611015319824219
13,13,44,21,0.4611015319824219
14,14,23,26,0.4611015319824219
15,15,23,29,0.4611015319824219
16,16,24,27,0.4611015319824219
17,17,22,23,0.4611015319824219
18,18,24,26,0.4611015319824219
19,19,23,23,0.4611015319824219
20,20,21,22,0.4611015319824219
21,21,21,20,0.4611015319824219
22,22,22,19,0.4611015319824219
23,23,26,20,0.4611015319824219
24,24,22,20,0.4611015319824219
25,25,23,19,0.4611015319824219
26,26,19,26,0.4611015319824219
27,27,20,27,0.4611015319824219
28,28,20,26,0.4611015319824219
29,29,22,29,0.4611015319824219
30,30,27,34,0.4611015319824219
31,31,24,36,0.4611015319824219
32,32,26,37,0.4611015319824219
33,33,28,36,0.4611015319824219
34,34,26,32,0.4611015319824219
35,35,20,30,0.4611015319824219
36,36,17,28,0.4611015319824219
37,37,24,26,0.4611015319824219
38,38,18,24,0.4611015319824219
39,39,17,25,0.4611015319824219
40,40,17,27,0.4611015319824219
41,41,17,29,0.4611015319824219
42,42,20,30,0.4611015319824219
43,43,20,31,0.4611015319824219
44,44,17,25,0.4611015319824219
45,45,25,22,0.4611015319824219
46,46,25,23,0.4611015319824219
47,47,27,24,0.4611015319824219
48,48,28,24,0.4611015319824219
49,49,24,22,0.4611015319824219
50,50,17,25,0.4611015319824219
51,51,19,26,0.4611015319824219
52,52,24,28,0.4611015319824219
53,53,24,33,0.4611015319824219
54,54,25,30,0.4611015319824219
55,55,24,31,0.4611015319824219
56,56,24,31,0.4611015319824219
57,57,24,31,0.4611015319824219
58,58,24,32,0.4611015319824219
59,59,24,33,0.4611015319824219
60,60,24,31,0.4611015319824219
61,61,24,31,0.4611015319824219
62,62,18,28,0.4611015319824219
63,63,16,28,0.4611015319824219
64,64,24,26,0.4611015319824219
65,65,24,25,0.4611015319824219
66,66,24,24,0.4611015319824219
67,67,24,26,0.4611015319824219
68,68,24,27,0.4611015319824219
69,69,24,26,0.4611015319824219
70,70,24,27,0.4611015319824219
71,71,24,29,0.4611015319824219
72,72,24,26,0.4611015319824219
73,73,24,25,0.4611015319824219
74,74,16,28,0.4611015319824219
75,75,18,28,0.4611015319824219
76,76,18,27,0.4611015319824219
77,77,19,29,0.4611015319824219
78,78,24,32,0.4611015319824219
79,79,24,31,0.4611015319824219
80,80,24,32,0.4611015319824219
81,81,20,28,0.4611015319824219
82,82,19,29,0.4611015319824219
83,83,19,30,0.4611015319824219
84,84,16,28,0.4611015319824219
85,85,18,26,0.4611015319824219
86,86,19,28,0.4611015319824219
87,87,19,28,0.4611015319824219
88,88,18,29,0.4611015319824219
89,89,19,26,0.4611015319824219
90,90,19,27,0.4611015319824219
91,91,16,28,0.4611015319824219
92,92,16,26,0.4611015319824219
93,93,16,26,0.4611015319824219
94,94,16,29,0.4611015319824219
95,95,18,26,0.4611015319824219
96,96,16,28,0.4611015319824219
97,97,23,27,0.4611015319824219
98,98,23,26,0.4611015319824219
99,99,23,25,0.4611015319824219
100,100,23,27,0.4611015319824219
101,101,23,25,0.4611015319824219
102,102,24,25,0.4611015319824219
103,103,23,26,0.4611015319824219
104,104,24,25,0.4611015319824219
105,105,24,25,0.4611015319824219
106,106,24,25,0.4611015319824219
107,107,27,25,0.4611015319824219
108,108,24,25,0.4611015319824219
109,109,24,26,0.4611015319824219
110,110,23,25,0.4611015319824219
111,111,23,26,0.4611015319824219
112,112,23,25,0.4611015319824219
113,113,23,28,0.4611015319824219
114,114,17,27,0.4611015319824219
115,115,19,29,0.4611015319824219
116,116,23,30,0.4611015319824219
117,117,24,34,0.4611015319824219
118,118,27,34,0.4611015319824219
119,119,28,36,0.4611015319824219
120,120,28,36,0.4611015319824219
121,121,28,37,0.4611015319824219
122,122,28,35,0.4611015319824219
123,123,24,33,0.4611015319824219
124,124,23,32,0.4611015319824219
125,125,16,28,0.4611015319824219
126,126,23,28,0.4611015319824219
127,127,23,26,0.4611015319824219
128,128,24,25,0.4611015319824219
129,129,28,25,0.4611015319824219
130,130,31,24,0.4611015319824219
131,131,32,23,0.4611015319824219
132,132,32,24,0.4611015319824219
133,133,32,25,0.4611015319824219
134,134,30,25,0.4611015319824219
135,135,29,25,0.4611015319824219
136,136,24,25,0.4611015319824219
137,137,23,26,0.4611015319824219
138,138,23,28,0.4611015319824219
139,139,20,31,0.4611015319824219
140,140,23,31,0.4611015319824219
141,141,24,32,0.4611015319824219
142,142,26,34,0.4611015319824219
143,143,29,34,0.4611015319824219
144,144,29,34,0.4611015319824219
145,145,30,36,0.4611015319824219
146,146,27,34,0.4611015319824219
147,147,26,35,0.4611015319824219
148,148,26,34,0.4611015319824219
149,149,23,31,0.4611015319824219
150,150,19,29,0.4611015319824219
151,151,23,28,0.4611015319824219
152,152,24,26,0.4611015319824219
153,153,24,25,0.4611015319824219
154,154,28,25,0.4611015319824219
155,155,32,25,0.4611015319824219
156,156,30,26,0.4611015319824219
157,157,29,25,0.4611015319824219
158,158,29,26,0.4611015319824219
159,159,24,25,0.4611015319824219
160,160,24,27,0.4611015319824219
161,161,23,25,0.4611015319824219
162,162,23,27,0.4611015319824219
163,163,23,27,0.4611015319824219
164,164,20,30,0.4611015319824219
165,165,23,31,0.4611015319824219
166,166,23,31,0.4611015319824219
167,167,23,32,0.4611015319824219
168,168,23,32,0.4611015319824219
169,169,23,32,0.4611015319824219
170,170,23,30,0.4611015319824219
171,171,23,29,0.4611015319824219
172,172,23,31,0.4611015319824219
173,173,19,30,0.4611015319824219
174,174,18,30,0.4611015319824219
175,175,23,28,0.4611015319824219
176,176,23,27,0.4611015319824219
177,177,23,26,0.4611015319824219
178,178,23,27,0.4611015319824219
179,179,24,26,0.4611015319824219
180,180,23,25,0.4611015319824219
181,181,23,26,0.4611015319824219
182,182,23,25,0.4611015319824219
183,183,23,26,0.4611015319824219
184,184,23,26,0.4611015319824219
185,185,23,27,0.4611015319824219
186,186,23,28,0.4611015319824219
187,187,23,29,0.4611015319824219
188,188,18,32,0.4611015319824219
189,189,19,29,0.4611015319824219
190,190,23,31,0.4611015319824219
191,191,23,31,0.4611015319824219
192,192,23,32,0.4611015319824219
193,193,23,32,0.4611015319824219
194,194,24,33,0.4611015319824219
195,195,23,30,0.4611015319824219
196,196,23,32,0.4611015319824219
197,197,23,32,0.4611015319824219
198,198,18,30,0.4611015319824219
199,199,23,27,0.4611015319824219
200,200,23,27,0.4611015319824219
201,201,23,25,0.4611015319824219
202,202,23,25,0.4611015319824219
203,203,24,25,0.4611015319824219
204,204,24,25,0.4611015319824219
205,205,30,25,0.4611015319824219
206,206,30,25,0.4611015319824219
207,207,30,25,0.4611015319824219
208,208,28,24,0.4611015319824219
209,209,28,26,0.4611015319824219
210,210,24,25,0.4611015319824219
211,211,23,26,0.4611015319824219
212,212,23,28,0.4611015319824219
213,213,18,28,0.4611015319824219
214,214,23,32,0.4611015319824219
215,215,23,30,0.4611015319824219
216,216,24,34,0.4611015319824219
217,217,26,33,0.4611015319824219
218,218,27,34,0.4611015319824219
219,219,27,34,0.4611015319824219
220,220,27,34,0.4611015319824219
221,221,27,33,0.4611015319824219
222,222,24,32,0.4611015319824219
223,223,23,32,0.4611015319824219
224,224,19,30,0.4611015319824219
225,225,18,29,0.4611015319824219
226,226,23,27,0.4611015319824219
227,227,23,25,0.4611015319824219
228,228,24,25,0.4611015319824219
229,229,24,25,0.4611015319824219
230,230,24,25,0.4611015319824219
231,231,23,25,0.4611015319824219
232,232,23,25,0.4611015319824219
233,233,23,26,0.4611015319824219
234,234,23,28,0.4611015319824219
235,235,18,28,0.4611015319824219
236,236,19,30,0.4611015319824219
237,237,19,32,0.4611015319824219
238,238,18,32,0.4611015319824219
239,239,17,27,0.4611015319824219
240,240,23,26,0.4611015319824219
241,241,23,27,0.4611015319824219
242,242,24,28,0.4611015319824219
243,243,23,26,0.4611015319824219
244,244,23,26,0.4611015319824219
245,245,16,29,0.4611015319824219
246,246,20,31,0.4611015319824219
247,247,23,31,0.4611015319824219
248,248,23,32,0.4611015319824219
249,249,23,29,0.4611015319824219
250,250,23,29,0.4611015319824219
251,251,18,30,0.4611015319824219
252,252,15,27,0.4611015319824219
253,253,17,27,0.4611015319824219
254,254,17,28,0.4611015319824219
255,255,23,27,0.4611015319824219
256,256,23,27,0.4611015319824219
257,257,23,26,0.4611015319824219
258,258,23,29,0.4611015319824219
259,259,23,27,0.4611015319824219
260,260,23,26,0.4611015319824219
261,261,23,27,0.4611015319824219
262,262,23,27,0.4611015319824219
263,263,18,27,0.4611015319824219
264,264,16,28,0.4611015319824219
265,265,19,29,0.4611015319824219
266,266,18,30,0.4611015319824219
267,267,18,27,0.4611015319824219
268,268,18,29,0.4611015319824219
269,269,16,30,0.4611015319824219
270,270,19,27,0.4611015319824219
271,271,19,29,0.4611015319824219
272,272,18,29,0.4611015319824219
273,273,19,30,0.4611015319824219
274,274,19,30,0.4611015319824219
275,275,19,28,0.4611015319824219
276,276,16,28,0.4611015319824219
277,277,23,26,0.4611015319824219
278,278,23,27,0.4611015319824219
279,279,23,26,0.4611015319824219
280,280,23,25,0.4611015319824219
281,281,23,25,0.4611015319824219
282,282,23,25,0.4611015319824219
283,283,23,27,0.4611015319824219
284,284,23,28,0.4611015319824219
285,285,18,26,0.4611015319824219
286,286,16,28,0.4611015319824219
287,287,17,30,0.4611015319824219
288,288,18,28,0.4611015319824219
289,289,16,31,0.4611015319824219
290,290,19,32,0.4611015319824219
291,291,19,28,0.4611015319824219
292,292,19,31,0.4611015319824219
293,293,19,31,0.4611015319824219
294,294,19,32,0.4611015319824219
295,295,19,29,0.4611015319824219
296,296,18,29,0.4611015319824219
297,297,16,27,0.4611015319824219
298,298,23,28,0.4611015319824219
299,299,23,28,0.4611015319824219
300,300,23,26,0.4611015319824219
301,301,23,27,0.4611015319824219
302,302,23,27,0.4611015319824219
303,303,23,26,0.4611015319824219
304,304,23,26,0.4611015319824219
305,305,23,25,0.4611015319824219
306,306,23,27,0.4611015319824219
307,307,23,27,0.4611015319824219
308,308,16,26,0.4611015319824219
309,309,18,27,0.4611015319824219
310,310,18,29,0.4611015319824219
311,311,19,27,0.4611015319824219
312,312,19,29,0.4611015319824219
313,313,18,27,0.4611015319824219
314,314,17,27,0.4611015319824219
315,315,17,27,0.4611015319824219
316,316,23,27,0.4611015319824219
317,317,23,27,0.4611015319824219
318,318,17,28,0.4611015319824219
319,319,17,27,0.4611015319824219
320,320,18,27,0.4611015319824219
321,321,18,32,0.4611015319824219
322,322,16,28,0.4611015319824219
323,323,23,28,0.4611015319824219
324,324,17,28,0.4611015319824219
325,325,17,28,0.4611015319824219
326,326,23,27,0.4611015319824219
327,327,23,26,0.4611015319824219
328,328,23,26,0.4611015319824219
329,329,23,28,0.4611015319824219
330,330,23,25,0.4611015319824219
331,331,23,26,0.4611015319824219
332,332,23,26,0.4611015319824219
333,333,23,25,0.4611015319824219
334,334,17,28,0.4611015319824219
335,335,16,28,0.4611015319824219
336,336,18,32,0.4611015319824219
337,337,19,29,0.4611015319824219
338,338,23,29,0.4611015319824219
339,339,19,30,0.4611015319824219
340,340,19,29,0.4611015319824219
341,341,19,28,0.4611015319824219
342,342,19,29,0.4611015319824219
343,343,19,28,0.4611015319824219
344,344,19,27,0.4611015319824219
345,345,17,28,0.4611015319824219
346,346,17,26,0.4611015319824219
347,347,23,25,0.4611015319824219
348,348,23,26,0.4611015319824219
349,349,24,26,0.4611015319824219
350,350,24,25,0.4611015319824219
351,351,24,25,0.4611015319824219
352,352,24,26,0.4611015319824219
353,353,24,25,0.4611015319824219
354,354,23,25,0.4611015319824219
355,355,23,25,0.4611015319824219
356,356,24,26,0.4611015319824219
357,357,23,25,0.4611015319824219
358,358,15,27,0.4611015319824219
359,359,18,27,0.4611015319824219
360,360,19,29,0.4611015319824219
361,361,19,30,0.4611015319824219
362,362,19,30,0.4611015319824219
363,363,19,30,0.4611015319824219
364,364,19,30,0.4611015319824219
365,365,18,30,0.4611015319824219
366,366,17,26,0.4611015319824219
367,367,23,26,0.4611015319824219
368,368,23,27,0.4611015319824219
369,369,23,26,0.4611015319824219
370,370,23,26,0.4611015319824219
371,371,23,26,0.4611015319824219
372,372,23,26,0.4611015319824219
373,373,24,25,0.4611015319824219
374,374,23,25,0.4611015319824219
375,375,24,25,0.4611015319824219
376,376,24,25,0.4611015319824219
377,377,24,25,0.4611015319824219
378,378,23,26,0.4611015319824219
379,379,23,26,0.4611015319824219
380,380,23,25,0.4611015319824219
381,381,24,25,0.4611015319824219
382,382,23,25,0.4611015319824219
383,383,24,25,0.4611015319824219
384,384,23,25,0.4611015319824219
385,385,23,25,0.4611015319824219
386,386,24,25,0.4611015319824219
387,387,24,27,0.4611015319824219
388,388,18,25,0.4611015319824219
389,389,15,27,0.4611015319824219
390,390,16,26,0.4611015319824219
391,391,16,28,0.4611015319824219
392,392,16,30,0.4611015319824219
393,393,17,26,0.4611015319824219
394,394,24,26,0.4611015319824219
395,395,23,27,0.4611015319824219
396,396,23,25,0.4611015319824219
397,397,23,25,0.4611015319824219
398,398,23,25,0.4611015319824219
399,399,23,24,0.4611015319824219
400,400,24,24,0.4611015319824219
401,401,24,25,0.4611015319824219
402,402,28,25,0.4611015319824219
403,403,28,24,0.4611015319824219
404,404,28,25,0.4611015319824219
405,405,28,26,0.4611015319824219
406,406,25,24,0.4611015319824219
407,407,24,24,0.4611015319824219
408,408,24,25,0.4611015319824219
409,409,23,25,0.4611015319824219
410,410,24,26,0.4611015319824219
411,411,16,29,0.4611015319824219
412,412,16,26,0.4611015319824219
413,413,18,27,0.4611015319824219
414,414,18,28,0.4611015319824219
415,415,20,28,0.4611015319824219
416,416,18,28,0.4611015319824219
417,417,18,28,0.4611015319824219
418,418,16,25,0.4611015319824219
419,419,15,25,0.4611015319824219
420,420,24,26,0.4611015319824219
421,421,24,25,0.4611015319824219
422,422,24,25,0.4611015319824219
423,423,24,25,0.4611015319824219
424,424,24,24,0.4611015319824219
425,425,28,26,0.4611015319824219
426,426,24,24,0.4611015319824219
427,427,29,25,0.4611015319824219
428,428,24,25,0.4611015319824219
429,429,29,25,0.4611015319824219
430,430,24,25,0.4611015319824219
431,431,24,24,0.4611015319824219
432,432,24,25,0.4611015319824219
433,433,24,25,0.4611015319824219
434,434,24,25,0.4611015319824219
435,435,23,25,0.4611015319824219
436,436,24,27,0.4611015319824219
437,437,18,25,0.4611015319824219
438,438,16,26,0.4611015319824219
439,439,24,25,0.4611015319824219
440,440,23,25,0.4611015319824219
441,441,23,26,0.4611015319824219
442,442,24,25,0.4611015319824219
443,443,23,25,0.4611015319824219
444,444,24,26,0.4611015319824219
445,445,24,25,0.4611015319824219
446,446,24,25,0.4611015319824219
447,447,24,26,0.4611015319824219
448,448,24,25,0.4611015319824219
449,449,24,24,0.4611015319824219
450,450,23,25,0.4611015319824219
451,451,24,26,0.4611015319824219
452,452,24,25,0.4611015319824219
453,453,24,24,0.4611015319824219
454,454,24,24,0.4611015319824219
455,455,24,25,0.4611015319824219
456,456,24,25,0.4611015319824219
457,457,27,25,0.4611015319824219
458,458,27,25,0.4611015319824219
459,459,24,24,0.4611015319824219
460,460,24,23,0.4611015319824219
461,461,24,25,0.4611015319824219
462,462,24,25,0.4611015319824219
463,463,24,26,0.4611015319824219
464,464,24,25,0.4611015319824219
465,465,24,26,0.4611015319824219
466,466,24,26,0.4611015319824219
467,467,24,25,0.4611015319824219
468,468,24,25,0.4611015319824219
469,469,17,25,0.4611015319824219
470,470,24,25,0.4611015319824219
471,471,24,25,0.4611015319824219
472,472,24,27,0.4611015319824219
473,473,24,25,0.4611015319824219
474,474,24,25,0.4611015319824219
475,475,24,25,0.4611015319824219
476,476,24,24,0.4611015319824219
477,477,32,25,0.4611015319824219
478,478,29,24,0.4611015319824219
479,479,29,24,0.4611015319824219
480,480,29,24,0.4611015319824219
481,481,29,24,0.4611015319824219
482,482,27,23,0.4611015319824219
483,483,24,25,0.4611015319824219
484,484,24,24,0.4611015319824219
485,485,24,25,0.4611015319824219
486,486,24,24,0.4611015319824219
487,487,23,25,0.4611015319824219
488,488,24,25,0.4611015319824219
489,489,16,27,0.4611015319824219
490,490,16,26,0.4611015319824219
491,491,15,26,0.4611015319824219
492,492,16,26,0.4611015319824219
493,493,15,26,0.4611015319824219
494,494,17,25,0.4611015319824219
495,495,24,24,0.4611015319824219
496,496,24,25,0.4611015319824219
497,497,24,24,0.4611015319824219
498,498,24,25,0.4611015319824219
499,499,24,24,0.4611015319824219
500,500,24,25,0.4611015319824219
501,501,24,25,0.4611015319824219
502,502,24,25,0.4611015319824219
503,503,24,24,0.4611015319824219
504,504,24,25,0.4611015319824219
505,505,24,24,0.4611015319824219
506,506,24,24,0.4611015319824219
507,507,24,25,0.4611015319824219
508,508,24,25,0.4611015319824219
509,509,24,26,0.4611015319824219
510,510,17,25,0.4611015319824219
511,511,17,29,0.4611015319824219
512,512,16,26,0.4611015319824219
513,513,16,29,0.4611015319824219
514,514,19,26,0.4611015319824219
515,515,18,30,0.4611015319824219
516,516,19,30,0.4611015319824219
517,517,20,28,0.4611015319824219
518,518,25,29,0.4611015319824219
519,519,26,30,0.4611015319824219
520,520,25,30,0.4611015319824219
521,521,24,31,0.4611015319824219
522,522,24,30,0.4611015319824219
523,523,25,31,0.4611015319824219
524,524,25,31,0.4611015319824219
525,525,25,31,0.4611015319824219
526,526,26,34,0.4611015319824219
527,527,19,30,0.4611015319824219
528,528,24,24,0.4611015319824219
529,529,32,19,0.4611015319824219
530,530,34,18,0.4611015319824219
531,531,33,18,0.4611015319824219
532,532,33,19,0.4611015319824219
533,533,33,19,0.4611015319824219
534,534,28,21,0.4611015319824219
535,535,19,27,0.4611015319824219
536,536,26,30,0.4611015319824219
537,537,27,33,0.4611015319824219
538,538,21,29,0.4611015319824219
539,539,23,27,0.4611015319824219
540,540,29,32,0.4611015319824219
541,541,32,37,0.4611015319824219
542,542,37,39,0.4611015319824219
543,543,40,45,0.4611015319824219
544,544,45,17,0.4611015319824219
545,545,39,14,0.4611015319824219
546,546,38,13,0.4611015319824219
547,547,45,13,0.4611015319824219
548,548,41,46,0.4611015319824219
549,549,32,40,0.4611015319824219
550,550,32,40,0.4611015319824219
551,551,32,39,0.4611015319824219
552,552,31,39,0.4611015319824219
553,553,32,21,0.4611015319824219
554,554,37,12,0.4611015319824219
555,555,32,11,0.4611015319824219
556,556,33,12,0.4611015319824219
557,557,34,13,0.4611015319824219
558,558,33,12,0.4611015319824219
559,559,35,12,0.4611015319824219
560,560,39,13,0.4611015319824219
561,561,40,45,0.4611015319824219
562,562,34,44,0.4611015319824219
563,563,39,39,0.4611015319824219
564,564,37,45,0.4611015319824219
565,565,40,39,0.4611015319824219
566,566,41,39,0.4611015319824219
567,567,41,38,0.4611015319824219
568,568,42,43,0.4611015319824219
569,569,56,47,0.4611015319824219
570,570,47,10,0.4611015319824219
571,571,36,10,0.4611015319824219
572,572,37,10,0.4611015319824219
573,573,38,11,0.4611015319824219
574,574,36,10,0.4611015319824219
575,575,35,10,0.4611015319824219
576,576,34,9,0.4611015319824219
577,577,36,13,0.4611015319824219
578,578,35,9,0.4611015319824219
579,579,40,9,0.4611015319824219
580,580,38,11,0.4611015319824219
581,581,2,3,0.4611015319824219
582,582,41,42,0.4611015319824219
583,583,41,45,0.4611015319824219
584,584,40,46,0.4611015319824219
585,585,38,39,0.4611015319824219
586,586,36,39,0.4611015319824219
587,587,40,45,0.4611015319824219
588,588,39,39,0.4611015319824219
589,589,41,43,0.4611015319824219
590,590,40,37,0.4611015319824219
591,591,43,38,0.4611015319824219
592,592,46,34,0.4611015319824219
593,593,56,24,0.4611015319824219
594,594,43,15,0.4611015319824219
595,595,39,17,0.4611015319824219
596,596,39,17,0.4611015319824219
597,597,39,17,0.4611015319824219
598,598,36,17,0.4611015319824219
